x,y,cp,dun
0.320816025,0.079882637,-0.201483892,-273363.1667
0.312696703,0.079968995,-0.199853282,-273796.7702
0.304634436,0.080015192,-0.197386002,-274121.163
0.296631678,0.08002694,-0.194831029,-274295.3139
0.288690869,0.080008711,-0.192698206,-274458.3919
0.280814427,0.079962342,-0.19119036,-274799.5512
0.27300475,0.079889033,-0.190398696,-275159.4596
0.265264219,0.079789101,-0.190333459,-275680.7332
0.25759519,0.079660985,-0.190676646,-276556.344
0.25,0.079502841,-0.191117127,-277419.6579
0.242480963,0.079313222,-0.191598091,-278067.9854
0.235040368,0.079090999,-0.192081446,-278761.3431
0.227680482,0.078835262,-0.192513343,-279565.6291
0.220403548,0.078544954,-0.192839563,-280323.1928
0.213211782,0.078218889,-0.192974564,-281019.2885
0.206107374,0.077856036,-0.192857658,-281675.9533
0.199092488,0.077455437,-0.192448233,-282268.1256
0.192169262,0.077016209,-0.191703842,-282818.3031
0.185339804,0.076537636,-0.190591723,-283306.8061
0.178606195,0.076018916,-0.18906068,-283668.121
0.171970486,0.075459265,-0.187065839,-283885.1702
0.165434697,0.074858087,-0.184578585,-284004.3474
0.15900082,0.074214729,-0.181471012,-283996.5502
0.152670815,0.073528662,-0.177724825,-283801.8499
0.146446609,0.072799505,-0.173345391,-283395.7975
0.1403301,0.072026557,-0.168225136,-282754.2597
0.134323149,0.071209315,-0.162294147,-282015.0928
0.128427587,0.070347452,-0.155464674,-281026.8379
0.12264521,0.069440507,-0.147641847,-279709.7817
0.116977778,0.068488326,-0.138795116,-278085.129
0.111427019,0.067490832,-0.128875494,-276119.4885
0.105994623,0.066447774,-0.117761845,-273730.3732
0.100682245,0.065359254,-0.105458404,-270994.5095
0.095491503,0.06422531,-0.091870666,-267829.8601
0.090423978,0.063045663,-0.076840029,-264212.528
0.085481214,0.061820502,-0.060322698,-260059.0159
0.080664716,0.060549855,-0.042213185,-255275.7875
0.075975952,0.059233522,-0.022281598,-249883.6488
0.07141635,0.057871881,-0.000539785,-243830.9069
0.066987298,0.05646512,0.023179317,-237018.1981
0.062690146,0.055013381,0.049020809,-229417.4807
0.058526204,0.053517411,0.076861211,-221021.5149
0.054496738,0.051977222,0.106971958,-211698.4959
0.050602977,0.050392643,0.139631308,-201381.4765
