TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4630
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 6.751468033E-02 -1.000000000E+00 1.015874609E+05 3.002229919E+02
 7.142857462E-02 -1.000000000E+00 1.015858438E+05 3.002216492E+02
 7.534246892E-02 -1.000000000E+00 1.015843281E+05 3.002203979E+02
 7.925636321E-02 -1.000000000E+00 1.015827812E+05 3.002191162E+02
 8.317025751E-02 -1.000000000E+00 1.015812031E+05 3.002178345E+02
 8.708415180E-02 -1.000000000E+00 1.015797266E+05 3.002166138E+02
 9.099804610E-02 -1.000000000E+00 1.015781641E+05 3.002153015E+02
 9.491194040E-02 -1.000000000E+00 1.015766875E+05 3.002140808E+02
 9.882583469E-02 -1.000000000E+00 1.015751406E+05 3.002127991E+02
 1.027397290E-01 -1.000000000E+00 1.015736328E+05 3.002115784E+02
 1.066536233E-01 -1.000000000E+00 1.015721250E+05 3.002103577E+02
 1.105675176E-01 -1.000000000E+00 1.015706172E+05 3.002091370E+02
 1.144814119E-01 -1.000000000E+00 1.015691484E+05 3.002079468E+02
 1.183953062E-01 -1.000000000E+00 1.015676562E+05 3.002067261E+02
 1.223092005E-01 -1.000000000E+00 1.015661953E+05 3.002055359E+02
 1.262230873E-01 -1.000000000E+00 1.015647188E+05 3.002043457E+02
